district,date,month,visitors,year
Jogulamba Gadwal,2019-02-01 00:00:00,February,6,2019
Jogulamba Gadwal,2016-01-01 00:00:00,January,0,2016
Jogulamba Gadwal,2017-01-01 00:00:00,January,20,2017
Jogulamba Gadwal,2018-01-01 00:00:00,January,36,2018
Jogulamba Gadwal,2019-01-01 00:00:00,January,36,2019
Jogulamba Gadwal,2016-07-01 00:00:00,July,0,2016
Jogulamba Gadwal,2017-07-01 00:00:00,July,34,2017
Jogulamba Gadwal,2018-07-01 00:00:00,July,37,2018
Jogulamba Gadwal,2019-07-01 00:00:00,July,37,2019
Jogulamba Gadwal,2016-06-01 00:00:00,June,0,2016
Jogulamba Gadwal,2017-06-01 00:00:00,June,32,2017
Jogulamba Gadwal,2018-06-01 00:00:00,June,19,2018
Jogulamba Gadwal,2019-06-01 00:00:00,June,22,2019
Jogulamba Gadwal,2016-03-01 00:00:00,March,0,2016
Jogulamba Gadwal,2017-03-01 00:00:00,March,32,2017
Jogulamba Gadwal,2018-03-01 00:00:00,March,22,2018
Jogulamba Gadwal,2019-03-01 00:00:00,March,22,2019
Jogulamba Gadwal,2016-05-01 00:00:00,May,0,2016
Jogulamba Gadwal,2017-05-01 00:00:00,May,31,2017
Jogulamba Gadwal,2018-05-01 00:00:00,May,19,2018
Jogulamba Gadwal,2019-05-01 00:00:00,May,20,2019
Jogulamba Gadwal,2016-11-01 00:00:00,November,21,2016
Jogulamba Gadwal,2017-11-01 00:00:00,November,21,2017
Jogulamba Gadwal,2018-11-01 00:00:00,November,45,2018
Jogulamba Gadwal,2019-11-01 00:00:00,November,45,2019
Jogulamba Gadwal,2016-10-01 00:00:00,October,13,2016
Jogulamba Gadwal,2017-10-01 00:00:00,October,13,2017
Jogulamba Gadwal,2018-10-01 00:00:00,October,13,2018
Jogulamba Gadwal,2019-10-01 00:00:00,October,13,2019
Jogulamba Gadwal,2016-09-01 00:00:00,September,0,2016
Jogulamba Gadwal,2017-09-01 00:00:00,September,42,2017
