district,date,month,visitors,year
Jagtial,2018-11-01,November,277997,2018
Jagtial,2017-11-01,November,348042,2017
Jagtial,2018-10-01,October,138206,2018
Jagtial,2019-10-01,October,165070,2019
Jagtial,2016-10-01,October,201249,2016
Jagtial,2017-10-01,October,248504,2017
Jagtial,2016-09-01,September,0,2016
Jagtial,2017-09-01,September,143102,2017
Jagtial,2019-09-01,September,157564,2019
Jagtial,2018-09-01,September,273121,2018
Jangaon,2016-04-01,April,0,2016
Jangaon,2017-04-01,April,9788,2017
Jangaon,2018-04-01,April,18100,2018
Jangaon,2019-04-01,April,26160,2019
Jangaon,2016-08-01,August,0,2016
Jangaon,2017-08-01,August,15680,2017
Jangaon,2018-08-01,August,26020,2018
Jangaon,2019-08-01,August,27800,2019
Jangaon,2016-12-01,December,12680,2016
Jangaon,2017-12-01,December,16880,2017
Jangaon,2019-12-01,December,28460,2019
Jangaon,2018-12-01,December,36962,2018
Jangaon,2016-02-01,February,0,2016
Jangaon,2017-02-01,February,12610,2017
Jangaon,2018-02-01,February,18600,2018
Jangaon,2019-02-01,February,28810,2019
Jangaon,2016-01-01,January,0,2016
Jangaon,2017-01-01,January,12280,2017
Jangaon,2018-01-01,January,17180,2018
Jangaon,2019-01-01,January,28750,2019
Jangaon,2016-07-01,July,0,2016
Jangaon,2017-07-01,July,16050,2017
Jangaon,2019-07-01,July,24160,2019
Jangaon,2018-07-01,July,26280,2018
Jangaon,2016-06-01,June,0,2016
Jangaon,2017-06-01,June,13750,2017
Jangaon,2018-06-01,June,23050,2018
Jangaon,2019-06-01,June,25820,2019
Jangaon,2016-03-01,March,0,2016
Jangaon,2017-03-01,March,8450,2017
Jangaon,2018-03-01,March,17300,2018
Jangaon,2019-03-01,March,27300,2019
Jangaon,2016-05-01,May,0,2016
Jangaon,2017-05-01,May,12130,2017
Jangaon,2018-05-01,May,19660,2018
Jangaon,2019-05-01,May,26740,2019
Jangaon,2016-11-01,November,13210,2016
Jangaon,2017-11-01,November,16360,2017
Jangaon,2019-11-01,November,28410,2019
Jangaon,2018-11-01,November,29570,2018
Jangaon,2016-10-01,October,14770,2016
Jangaon,2017-10-01,October,16130,2017
Jangaon,2019-10-01,October,27840,2019
Jangaon,2018-10-01,October,29470,2018
Jangaon,2016-09-01,September,0,2016
Jangaon,2017-09-01,September,15600,2017
Jangaon,2019-09-01,September,28640,2019
Jangaon,2018-09-01,September,28830,2018
Jayashankar Bhoopalpally,2016-04-01,April,0,2016
Jayashankar Bhoopalpally,2019-04-01,April,38500,2019
Jayashankar Bhoopalpally,2017-04-01,April,90700,2017
Jayashankar Bhoopalpally,2018-04-01,April,149150,2018
Jayashankar Bhoopalpally,2016-08-01,August,0,2016
Jayashankar Bhoopalpally,2019-08-01,August,45000,2019
Jayashankar Bhoopalpally,2017-08-01,August,118350,2017
Jayashankar Bhoopalpally,2018-08-01,August,184700,2018
Jayashankar Bhoopalpally,2019-12-01,December,45800,2019
Jayashankar Bhoopalpally,2016-12-01,December,85460,2016
Jayashankar Bhoopalpally,2018-12-01,December,245625,2018
Jayashankar Bhoopalpally,2017-12-01,December,723000,2017
Jayashankar Bhoopalpally,2016-02-01,February,0,2016
Jayashankar Bhoopalpally,2019-02-01,February,33500,2019
Jayashankar Bhoopalpally,2017-02-01,February,96850,2017
Jayashankar Bhoopalpally,2018-02-01,February,8626250,2018
Jayashankar Bhoopalpally,2016-01-01,January,0,2016
Jayashankar Bhoopalpally,2017-01-01,January,96560,2017
Jayashankar Bhoopalpally,2019-01-01,January,197430,2019
Jayashankar Bhoopalpally,2018-01-01,January,6519850,2018
Jayashankar Bhoopalpally,2016-07-01,July,0,2016
Jayashankar Bhoopalpally,2019-07-01,July,45500,2019
Jayashankar Bhoopalpally,2017-07-01,July,94700,2017
Jayashankar Bhoopalpally,2018-07-01,July,128550,2018
Jayashankar Bhoopalpally,2016-06-01,June,0,2016
Jayashankar Bhoopalpally,2019-06-01,June,40500,2019
Jayashankar Bhoopalpally,2017-06-01,June,93650,2017
Jayashankar Bhoopalpally,2018-06-01,June,159400,2018
Jayashankar Bhoopalpally,2016-03-01,March,0,2016
Jayashankar Bhoopalpally,2019-03-01,March,37500,2019
Jayashankar Bhoopalpally,2017-03-01,March,81400,2017
Jayashankar Bhoopalpally,2018-03-01,March,146150,2018
Jayashankar Bhoopalpally,2016-05-01,May,0,2016
Jayashankar Bhoopalpally,2019-05-01,May,30800,2019
Jayashankar Bhoopalpally,2017-05-01,May,91150,2017
Jayashankar Bhoopalpally,2018-05-01,May,152050,2018
Jayashankar Bhoopalpally,2019-11-01,November,51500,2019
Jayashankar Bhoopalpally,2016-11-01,November,81580,2016
Jayashankar Bhoopalpally,2017-11-01,November,116800,2017
Jayashankar Bhoopalpally,2018-11-01,November,196500,2018
Jayashankar Bhoopalpally,2019-10-01,October,46000,2019
Jayashankar Bhoopalpally,2016-10-01,October,76360,2016
Jayashankar Bhoopalpally,2017-10-01,October,115250,2017
Jayashankar Bhoopalpally,2018-10-01,October,195400,2018
Jayashankar Bhoopalpally,2016-09-01,September,0,2016
Jayashankar Bhoopalpally,2019-09-01,September,50500,2019
Jayashankar Bhoopalpally,2017-09-01,September,112600,2017
Jayashankar Bhoopalpally,2018-09-01,September,192300,2018
Jogulamba Gadwal,2016-04-01,April,0,2016
Jogulamba Gadwal,2019-04-01,April,82334,2019
Jogulamba Gadwal,2017-04-01,April,131426,2017
Jogulamba Gadwal,2018-04-01,April,138673,2018
Jogulamba Gadwal,2016-08-01,August,0,2016
Jogulamba Gadwal,2018-08-01,August,123733,2018
Jogulamba Gadwal,2019-08-01,August,123733,2019
Jogulamba Gadwal,2017-08-01,August,131485,2017
Jogulamba Gadwal,2016-12-01,December,182333,2016
Jogulamba Gadwal,2018-12-01,December,182333,2018
Jogulamba Gadwal,2019-12-01,December,182333,2019
Jogulamba Gadwal,2017-12-01,December,214887,2017
Jogulamba Gadwal,2016-02-01,February,0,2016
Jogulamba Gadwal,2017-02-01,February,481110,2017
Jogulamba Gadwal,2018-02-01,February,481110,2018
Jogulamba Gadwal,2019-02-01,February,481110,2019
Jogulamba Gadwal,2016-01-01,January,0,2016
Jogulamba Gadwal,2018-01-01,January,146441,2018
Jogulamba Gadwal,2019-01-01,January,146441,2019
